security_id,ticker,name,sector,price,market_cap_eok,listed_shares,float_shares,float_ratio,float_market_cap_eok
KRX:071050,071050,한국금융지주,업종 원천 미연결,188800,105211,55726000,40867000,73.3,77119.663
KRX:323410,323410,카카오뱅크,업종 원천 미연결,21950,104728,477120000,345857000,72.5,75927.8
KRX:259960,259960,크래프톤,업종 원천 미연결,216500,99044,45748000,25849000,56.5,55959.86
KRX:005940,005940,NH투자증권,업종 원천 미연결,26650,98393,369206000,131274000,35.6,35027.908
KRX:180640,180640,한진칼,업종 원천 미연결,146000,97473,66762000,45966000,68.9,67158.897
KRX:047050,047050,포스코인터내셔널,업종 원천 미연결,54700,96230,175923000,45850000,26.1,25116.03
KRX:443060,443060,HD현대마린솔루션,업종 원천 미연결,210500,94374,44833000,19267000,43.0,40580.82
KRX:006260,006260,LS,업종 원천 미연결,299500,93444,31200000,17016000,54.5,50926.98
KRX:028050,028050,삼성E&A,업종 원천 미연결,45850,89866,196000000,155678000,79.4,71353.604
KRX:0126Z0,0126Z0,삼성에피스홀딩스,업종 원천 미연결,356000,88584,24883000,6310000,25.4,22500.336
KRX:090430,090430,아모레퍼시픽,업종 원천 미연결,143300,83820,58493000,29141000,49.8,41742.36
KRX:007660,007660,이수페타시스,업종 원천 미연결,111100,81558,73409000,53921000,73.5,59945.13
KRX:161390,161390,한국타이어앤테크놀로지,업종 원천 미연결,65400,81014,123875000,68486000,55.3,44800.742
KRX:016360,016360,삼성증권,업종 원천 미연결,86800,77512,89300000,62337000,69.8,54103.376
KRX:352820,352820,하이브,업종 원천 미연결,178500,76946,43107000,24885000,57.7,44397.842
KRX:000880,000880,한화,업종 원천 미연결,137400,73274,53329000,20535000,38.5,28210.49
KRX:064400,064400,LG씨엔에스,업종 원천 미연결,74100,71792,96886000,48188000,49.7,35680.624
KRX:039490,039490,키움증권,업종 원천 미연결,270500,70948,26228000,15082000,57.5,40795.1
KRX:021240,021240,코웨이,업종 원천 미연결,99400,70343,70767000,50769000,71.7,50435.931
KRX:047040,047040,대우건설,업종 원천 미연결,16850,69238,410908000,199319000,48.5,33580.43
KRX:326030,326030,SK바이오팜,업종 원천 미연결,86600,67819,78313000,39024000,49.8,33773.862
KRX:009830,009830,한화솔루션,업종 원천 미연결,30050,67580,224893000,132114000,58.8,39737.04
KRX:267270,267270,HD건설기계,업종 원천 미연결,140000,67091,47922000,29679000,61.9,41529.329
KRX:377300,377300,카카오페이,업종 원천 미연결,47300,63984,135273000,35999000,26.6,17019.744
KRX:032640,032640,LG유플러스,업종 원천 미연결,14760,62646,424428000,258378000,60.9,38151.414
KRX:128940,128940,한미약품,업종 원천 미연결,473500,60660,12811000,6295000,49.1,29784.06
KRX:241560,241560,두산밥캣,업종 원천 미연결,62800,60198,95856000,49506000,51.7,31122.366
KRX:000100,000100,유한양행,업종 원천 미연결,81400,59923,73616000,54905000,74.6,44702.558
KRX:062040,062040,산일전기,업종 원천 미연결,191700,58742,30643000,16650000,54.3,31896.906
KRX:175330,175330,JB금융지주,업종 원천 미연결,31000,57822,186522000,152135000,81.6,47182.752
KRX:001440,001440,대한전선,업종 원천 미연결,27400,53702,195993000,117050000,59.7,32060.094
KRX:029780,029780,삼성카드,업종 원천 미연결,46150,53469,115859000,23426000,20.2,10800.738
KRX:271560,271560,오리온,업종 원천 미연결,126300,49925,39529000,22202000,56.2,28057.85
KRX:088350,088350,한화생명,업종 원천 미연결,5740,49854,868530000,359362000,41.4,20639.556
KRX:066970,066970,엘앤에프,업종 원천 미연결,121300,49350,40685000,29226000,71.8,35433.3
KRX:036570,036570,NC,업종 원천 미연결,222000,47828,21544000,16809000,78.0,37305.84
KRX:138930,138930,BNK금융지주,업종 원천 미연결,15390,47223,306840000,262417000,85.5,40375.665
KRX:034220,034220,LG디스플레이,업종 원천 미연결,9130,45650,500000000,282068000,56.4,25746.6
KRX:454910,454910,두산로보틱스,업종 원천 미연결,68400,44337,64820000,32426000,50.0,22168.5
KRX:051900,051900,LG생활건강,업종 원천 미연결,294000,44028,14976000,9344000,62.4,27473.472
KRX:001450,001450,현대해상,업종 원천 미연결,51100,43562,85248000,58872000,69.1,30101.342
KRX:010060,010060,OCI홀딩스,업종 원천 미연결,227500,42475,18670000,13053000,69.9,29690.025
KRX:004020,004020,현대제철,업종 원천 미연결,31500,42035,133446000,83556000,62.6,26313.91
KRX:011790,011790,SKC,업종 원천 미연결,84300,41811,49598000,24777000,50.0,20905.5
KRX:002380,002380,KCC,업종 원천 미연결,482000,41418,8593000,4299000,50.0,20709.0
KRX:052690,052690,한전기술,업종 원천 미연결,107600,41125,38220000,17743000,46.4,19082.0
KRX:000990,000990,DB하이텍,업종 원천 미연결,89900,39111,43505000,31531000,72.5,28355.475
KRX:001040,001040,CJ,업종 원천 미연결,131400,38339,29177000,13171000,45.1,17290.889
KRX:082740,082740,한화엔진,업종 원천 미연결,45600,38052,83447000,55695000,66.7,25380.684
KRX:018880,018880,한온시스템,업종 원천 미연결,3525,36176,1026263000,487934000,47.5,17183.6
KRX:004170,004170,신세계,업종 원천 미연결,382500,36128,9445000,5952000,63.0,22760.64
KRX:008930,008930,한미사이언스,업종 원천 미연결,52800,36111,68392000,18394000,26.9,9713.859
KRX:161890,161890,한국콜마,업종 원천 미연결,145800,34416,23605000,17333000,73.4,25261.344
KRX:111770,111770,영원무역,업종 원천 미연결,75000,33234,44311000,20070000,45.3,15055.002
KRX:022100,022100,포스코DX,업종 원천 미연결,21650,32916,152035000,52252000,34.4,11323.104
KRX:036460,036460,한국가스공사,업종 원천 미연결,35100,32402,92313000,43322000,46.9,15196.538
KRX:028670,028670,팬오션,업종 원천 미연결,5960,31860,534570000,240960000,45.1,14368.86
KRX:011780,011780,금호석유화학,업종 원천 미연결,125900,31673,25157000,14695000,58.4,18497.032
KRX:035250,035250,강원랜드,업종 원천 미연결,14750,31556,213941000,120604000,56.4,17797.584
KRX:192820,192820,코스맥스,업종 원천 미연결,275500,31268,11350000,8190000,72.2,22575.496
KRX:023530,023530,롯데쇼핑,업종 원천 미연결,107500,30410,28289000,11247000,39.8,12103.18
KRX:251270,251270,넷마블,업종 원천 미연결,36300,30187,83158000,30708000,36.9,11139.003
KRX:012750,012750,에스원,업종 원천 미연결,79200,30095,37999000,24059000,63.3,19050.135
KRX:302440,302440,SK바이오사이언스,업종 원천 미연결,37900,29735,78457000,25597000,32.6,9693.61
KRX:017800,017800,현대엘리베이터,업종 원천 미연결,74900,29280,39092000,25400000,65.0,19032.0
KRX:139130,139130,iM금융지주,업종 원천 미연결,18120,28695,158363000,135812000,85.8,24620.31
KRX:009420,009420,한올바이오파마,업종 원천 미연결,54700,28576,52241000,34518000,66.1,18888.736
KRX:375500,375500,DL이앤씨,업종 원천 미연결,73400,28401,38694000,27755000,71.7,20363.517
KRX:097950,097950,CJ제일제당,업종 원천 미연결,183400,27609,15054000,7821000,52.0,14356.68
KRX:007340,007340,DN오토모티브,업종 원천 미연결,45100,26388,58511000,21241000,36.3,9578.844
KRX:004370,004370,농심,업종 원천 미연결,430000,26155,6083000,3143000,51.7,13522.135
KRX:011170,011170,롯데케미칼,업종 원천 미연결,60000,25665,42775000,18826000,44.0,11292.6
KRX:383220,383220,F&F,업종 원천 미연결,66900,25627,38307000,13419000,35.0,8969.45
KRX:282330,282330,BGF리테일,업종 원천 미연결,147600,25511,17284000,9243000,53.5,13648.385
KRX:450080,450080,에코프로머티,업종 원천 미연결,35850,25387,70814000,37953000,53.6,13607.432
KRX:026960,026960,동서,업종 원천 미연결,25450,25374,99700000,29941000,30.0,7612.2
KRX:004990,004990,롯데지주,업종 원천 미연결,24750,24667,99664000,30467000,30.6,7548.102
KRX:005850,005850,에스엘,업종 원천 미연결,51400,23875,46449000,16828000,36.2,8642.75
KRX:483650,483650,달바글로벌,업종 원천 미연결,190600,23874,12526000,9155000,73.1,17451.894
KRX:000240,000240,한국앤컴퍼니,업종 원천 미연결,24550,23307,94935000,49854000,52.5,12236.175
KRX:204320,204320,HL만도,업종 원천 미연결,48500,22774,46957000,32073000,68.3,15554.642
KRX:009970,009970,영원무역홀딩스,업종 원천 미연결,170900,22138,12954000,5294000,40.9,9054.442
KRX:081660,081660,미스토홀딩스,업종 원천 미연결,41400,21980,53092000,30790000,58.0,12748.4
KRX:103140,103140,풍산,업종 원천 미연결,78400,21971,28024000,16659000,59.4,13050.774
KRX:030000,030000,제일기획,업종 원천 미연결,18930,21777,115041000,68699000,59.7,13000.869
KRX:007070,007070,GS리테일,업종 원천 미연결,25400,21236,83607000,34531000,41.3,8770.468
KRX:014680,014680,한솔케미칼,업종 원천 미연결,193100,20843,10794000,8620000,79.9,16653.557
KRX:069960,069960,현대백화점,업종 원천 미연결,96200,20745,21565000,11853000,55.0,11409.75
KRX:073240,073240,금호타이어,업종 원천 미연결,7180,20625,287260000,113940000,39.7,8188.125
KRX:051600,051600,한전KPS,업종 원천 미연결,45800,20610,45000000,21532000,47.9,9872.19
KRX:139480,139480,이마트,업종 원천 미연결,73500,20283,27596000,19060000,69.1,14015.553
KRX:002790,002790,아모레퍼시픽홀딩스,업종 원천 미연결,26400,20185,76458000,25618000,33.5,6761.975
KRX:112610,112610,씨에스윈드,업종 원천 미연결,46950,19799,42171000,25181000,59.7,11820.003
KRX:457190,457190,이수스페셜티케미컬,업종 원천 미연결,63300,19129,30219000,19886000,65.8,12586.882
KRX:071970,071970,HD현대마린엔진,업종 원천 미연결,50200,17029,33921000,22027000,64.9,11051.821
KRX:006040,006040,동원산업,업종 원천 미연결,38100,16818,44141000,9602000,21.8,3666.324
KRX:000120,000120,CJ대한통운,업종 원천 미연결,73400,16744,22812000,10776000,47.2,7903.168
KRX:120110,120110,코오롱인더,업종 원천 미연결,55800,16710,29946000,20358000,68.0,11362.8
KRX:008770,008770,호텔신라,업종 원천 미연결,42200,16563,39248000,30144000,76.8,12720.384
KRX:011210,011210,현대위아,업종 원천 미연결,57600,15664,27195000,15510000,57.0,8928.48
KRX:001800,001800,오리온홀딩스,업종 원천 미연결,25550,15370,60157000,20128000,33.5,5148.95
KRX:001430,001430,세아베스틸지주,업종 원천 미연결,42350,15188,35862000,12646000,35.3,5361.364
KRX:298020,298020,효성티앤씨,업종 원천 미연결,347000,15017,4328000,2441000,56.4,8469.588
KRX:006280,006280,녹십자,업종 원천 미연결,127600,14912,11687000,5402000,46.2,6889.344
KRX:069620,069620,대웅제약,업종 원천 미연결,116100,13452,11587000,4401000,38.0,5111.76
KRX:093370,093370,후성,업종 원천 미연결,12500,13407,107255000,57870000,54.0,7239.78
