security_id,ticker,name,sector
KRX:011780,011780,금호석유화학,업종 원천 미연결
KRX:035250,035250,강원랜드,업종 원천 미연결
KRX:192820,192820,코스맥스,업종 원천 미연결
KRX:023530,023530,롯데쇼핑,업종 원천 미연결
KRX:251270,251270,넷마블,업종 원천 미연결
KRX:012750,012750,에스원,업종 원천 미연결
KRX:302440,302440,SK바이오사이언스,업종 원천 미연결
KRX:017800,017800,현대엘리베이터,업종 원천 미연결
KRX:139130,139130,iM금융지주,업종 원천 미연결
KRX:009420,009420,한올바이오파마,업종 원천 미연결
KRX:375500,375500,DL이앤씨,업종 원천 미연결
KRX:097950,097950,CJ제일제당,업종 원천 미연결
KRX:007340,007340,DN오토모티브,업종 원천 미연결
KRX:004370,004370,농심,업종 원천 미연결
KRX:011170,011170,롯데케미칼,업종 원천 미연결
KRX:383220,383220,F&F,업종 원천 미연결
KRX:282330,282330,BGF리테일,업종 원천 미연결
KRX:450080,450080,에코프로머티,업종 원천 미연결
KRX:026960,026960,동서,업종 원천 미연결
KRX:004990,004990,롯데지주,업종 원천 미연결
KRX:005850,005850,에스엘,업종 원천 미연결
KRX:483650,483650,달바글로벌,업종 원천 미연결
KRX:000240,000240,한국앤컴퍼니,업종 원천 미연결
KRX:204320,204320,HL만도,업종 원천 미연결
KRX:009970,009970,영원무역홀딩스,업종 원천 미연결
KRX:081660,081660,미스토홀딩스,업종 원천 미연결
KRX:103140,103140,풍산,업종 원천 미연결
KRX:030000,030000,제일기획,업종 원천 미연결
KRX:007070,007070,GS리테일,업종 원천 미연결
KRX:014680,014680,한솔케미칼,업종 원천 미연결
KRX:069960,069960,현대백화점,업종 원천 미연결
KRX:073240,073240,금호타이어,업종 원천 미연결
KRX:051600,051600,한전KPS,업종 원천 미연결
KRX:139480,139480,이마트,업종 원천 미연결
KRX:002790,002790,아모레퍼시픽홀딩스,업종 원천 미연결
KRX:112610,112610,씨에스윈드,업종 원천 미연결
KRX:457190,457190,이수스페셜티케미컬,업종 원천 미연결
KRX:071970,071970,HD현대마린엔진,업종 원천 미연결
KRX:006040,006040,동원산업,업종 원천 미연결
KRX:000120,000120,CJ대한통운,업종 원천 미연결
KRX:120110,120110,코오롱인더,업종 원천 미연결
KRX:008770,008770,호텔신라,업종 원천 미연결
KRX:011210,011210,현대위아,업종 원천 미연결
KRX:001800,001800,오리온홀딩스,업종 원천 미연결
KRX:001430,001430,세아베스틸지주,업종 원천 미연결
KRX:298020,298020,효성티앤씨,업종 원천 미연결
KRX:006280,006280,녹십자,업종 원천 미연결
KRX:069620,069620,대웅제약,업종 원천 미연결
KRX:093370,093370,후성,업종 원천 미연결
KRX:280360,280360,롯데웰푸드,업종 원천 미연결
KRX:007310,007310,오뚜기,업종 원천 미연결
KRX:361610,361610,SK아이이테크놀로지,업종 원천 미연결
KRX:300720,300720,한일시멘트,업종 원천 미연결
KRX:192080,192080,더블유게임즈,업종 원천 미연결
KRX:004000,004000,롯데정밀화학,업종 원천 미연결
KRX:017960,017960,한국카본,업종 원천 미연결
KRX:000210,000210,DL,업종 원천 미연결
KRX:000080,000080,하이트진로,업종 원천 미연결
KRX:003240,003240,태광산업,업종 원천 미연결
KRX:003090,003090,대웅,업종 원천 미연결
KRX:285130,285130,SK케미칼,업종 원천 미연결
KRX:185750,185750,종근당,업종 원천 미연결
KRX:034230,034230,파라다이스,업종 원천 미연결
KRX:005300,005300,롯데칠성,업종 원천 미연결
KRX:009240,009240,한샘,업종 원천 미연결
KRX:071320,071320,지역난방공사,업종 원천 미연결
KRX:298050,298050,HS효성첨단소재,업종 원천 미연결
KRX:137310,137310,에스디바이오센서,업종 원천 미연결
KRX:000670,000670,영풍,업종 원천 미연결
KRX:456040,456040,OCI,업종 원천 미연결
KRX:069260,069260,TKG휴켐스,업종 원천 미연결
KRX:001680,001680,대상,업종 원천 미연결
KRX:268280,268280,미원에스씨,업종 원천 미연결
KRX:014820,014820,동원시스템즈,업종 원천 미연결
KRX:006650,006650,대한유화,업종 원천 미연결
KRX:002840,002840,미원상사,업종 원천 미연결
KRX:0220W0,0220W0,한화머시너리앤서비스홀딩스,업종 원천 미연결
KRX:003030,003030,세아제강지주,업종 원천 미연결
KRX:002030,002030,아세아,업종 원천 미연결
KRX:008730,008730,율촌화학,업종 원천 미연결
KRX:005420,005420,코스모화학,업종 원천 미연결
