date,close,volume,bm_close,bm_name
2025-03-07,11100.0,36531304,727.7,KOSDAQ
2025-03-10,12200.0,24705324,725.82,KOSDAQ
2025-03-11,11940.0,17027519,721.5,KOSDAQ
2025-03-12,11830.0,7648421,729.49,KOSDAQ
2025-03-13,12000.0,7888805,722.8,KOSDAQ
2025-03-14,12110.0,3309518,734.26,KOSDAQ
2025-03-17,11150.0,2074531,743.51,KOSDAQ
2025-03-18,10620.0,1312443,745.54,KOSDAQ
2025-03-19,11210.0,6131985,738.35,KOSDAQ
2025-03-20,10720.0,1005405,725.15,KOSDAQ
2025-03-21,10130.0,695257,719.41,KOSDAQ
2025-03-24,9680.0,621345,720.22,KOSDAQ
2025-03-25,9530.0,1324999,711.26,KOSDAQ
2025-03-26,9380.0,508193,716.48,KOSDAQ
2025-03-27,9000.0,501358,707.49,KOSDAQ
2025-03-28,8880.0,499228,693.76,KOSDAQ
2025-03-31,8200.0,295009,672.85,KOSDAQ
2025-04-01,8700.0,347862,691.45,KOSDAQ
2025-04-02,9040.0,1081390,684.85,KOSDAQ
2025-04-03,9120.0,685969,683.49,KOSDAQ
2025-04-04,8490.0,379725,687.39,KOSDAQ
2025-04-07,8170.0,578575,651.3,KOSDAQ
2025-04-08,7730.0,464944,658.45,KOSDAQ
2025-04-09,7650.0,230615,643.39,KOSDAQ
2025-04-10,7850.0,368118,681.79,KOSDAQ
2025-04-11,8240.0,629742,695.59,KOSDAQ
2025-04-14,8440.0,454451,708.98,KOSDAQ
2025-04-15,8760.0,470239,711.92,KOSDAQ
2025-04-16,9260.0,2732298,699.11,KOSDAQ
2025-04-17,10680.0,9356686,711.75,KOSDAQ
2025-04-18,10590.0,1620740,717.77,KOSDAQ
2025-04-21,11340.0,10550887,715.45,KOSDAQ
2025-04-22,10900.0,1381834,716.12,KOSDAQ
2025-04-23,10780.0,881662,726.08,KOSDAQ
2025-04-24,10350.0,457084,726.08,KOSDAQ
2025-04-25,11320.0,4225642,729.69,KOSDAQ
2025-04-28,11100.0,2446119,719.41,KOSDAQ
2025-04-29,11100.0,938355,726.46,KOSDAQ
2025-04-30,11460.0,3118197,717.24,KOSDAQ
2025-05-02,12700.0,12356325,721.86,KOSDAQ
2025-05-07,13420.0,9225250,722.81,KOSDAQ
2025-05-08,12830.0,1375020,729.59,KOSDAQ
2025-05-09,13360.0,6232869,722.52,KOSDAQ
2025-05-12,13430.0,2644002,725.4,KOSDAQ
2025-05-13,13790.0,2728787,731.88,KOSDAQ
2025-05-14,13550.0,1181734,739.05,KOSDAQ
2025-05-15,13270.0,1443114,733.23,KOSDAQ
2025-05-16,12210.0,978161,725.07,KOSDAQ
2025-05-19,11480.0,520067,713.75,KOSDAQ
2025-05-20,11730.0,439442,715.55,KOSDAQ
2025-05-21,12390.0,508454,723.62,KOSDAQ
2025-05-22,11650.0,350916,717.67,KOSDAQ
2025-05-23,11350.0,296842,715.98,KOSDAQ
2025-05-26,11640.0,226334,725.27,KOSDAQ
2025-05-27,11440.0,188862,727.11,KOSDAQ
2025-05-28,11310.0,707051,728.79,KOSDAQ
2025-05-29,11100.0,310686,736.29,KOSDAQ
2025-05-30,10680.0,320936,734.35,KOSDAQ
2025-06-02,11060.0,275072,740.29,KOSDAQ
2025-06-04,11320.0,245784,750.21,KOSDAQ
2025-06-05,11100.0,207354,756.23,KOSDAQ
2025-06-09,11930.0,1206711,764.21,KOSDAQ
2025-06-10,11600.0,378809,771.2,KOSDAQ
2025-06-11,11400.0,246695,786.29,KOSDAQ
2025-06-12,11370.0,158344,789.45,KOSDAQ
2025-06-13,11180.0,292279,768.86,KOSDAQ
2025-06-16,12200.0,646652,777.26,KOSDAQ
2025-06-17,13190.0,2130010,775.65,KOSDAQ
2025-06-18,13550.0,755508,779.73,KOSDAQ
2025-06-19,13210.0,324026,782.51,KOSDAQ
2025-06-20,13310.0,371847,791.53,KOSDAQ
2025-06-23,12850.0,254297,784.79,KOSDAQ
2025-06-24,13600.0,673907,800.93,KOSDAQ
2025-06-25,12800.0,433956,798.21,KOSDAQ
2025-06-26,12280.0,449431,787.95,KOSDAQ
2025-06-27,11970.0,139710,781.56,KOSDAQ
2025-06-30,11640.0,209000,781.5,KOSDAQ
2025-07-01,11750.0,110303,783.67,KOSDAQ
2025-07-02,11670.0,80618,782.17,KOSDAQ
2025-07-03,11890.0,59885,793.33,KOSDAQ
2025-07-04,11410.0,84736,775.8,KOSDAQ
2025-07-07,11310.0,54746,778.46,KOSDAQ
2025-07-08,11530.0,65233,784.24,KOSDAQ
2025-07-09,11510.0,52124,790.36,KOSDAQ
2025-07-10,11370.0,73938,797.7,KOSDAQ
2025-07-11,11370.0,63106,800.47,KOSDAQ
2025-07-14,11140.0,71868,799.37,KOSDAQ
2025-07-15,11360.0,106526,812.88,KOSDAQ
2025-07-16,10970.0,121721,812.23,KOSDAQ
2025-07-17,10780.0,91346,818.27,KOSDAQ
2025-07-18,10700.0,33937,820.67,KOSDAQ
2025-07-21,10750.0,27667,821.69,KOSDAQ
2025-07-22,10810.0,89640,812.97,KOSDAQ
2025-07-23,10550.0,49051,813.56,KOSDAQ
2025-07-24,10180.0,78257,809.89,KOSDAQ
2025-07-25,10190.0,34829,806.95,KOSDAQ
2025-07-28,10070.0,46966,804.4,KOSDAQ
2025-07-29,10370.0,47953,804.45,KOSDAQ
2025-07-30,10300.0,58840,803.67,KOSDAQ
2025-07-31,10020.0,46438,805.24,KOSDAQ
2025-08-01,9610.0,100488,772.79,KOSDAQ
2025-08-04,10250.0,90734,784.06,KOSDAQ
2025-08-05,10570.0,54272,798.6,KOSDAQ
2025-08-06,10480.0,30232,803.49,KOSDAQ
2025-08-07,11250.0,189571,805.81,KOSDAQ
2025-08-08,12380.0,852608,809.27,KOSDAQ
2025-08-11,12390.0,282045,811.85,KOSDAQ
2025-08-12,12860.0,599735,807.19,KOSDAQ
2025-08-13,12790.0,360396,814.1,KOSDAQ
2025-08-14,12930.0,489765,815.26,KOSDAQ
2025-08-18,12160.0,303301,798.05,KOSDAQ
2025-08-19,11740.0,250064,787.96,KOSDAQ
2025-08-20,11970.0,290287,777.61,KOSDAQ
2025-08-21,12440.0,416136,777.24,KOSDAQ
2025-08-22,12220.0,423354,782.51,KOSDAQ
2025-08-25,11870.0,355066,798.02,KOSDAQ
2025-08-26,11990.0,153899,801.66,KOSDAQ
2025-08-27,11690.0,180155,801.72,KOSDAQ
2025-08-28,11200.0,362789,798.43,KOSDAQ
2025-08-29,10580.0,364961,796.91,KOSDAQ
2025-09-01,11300.0,500836,785.0,KOSDAQ
2025-09-02,11420.0,437693,794.0,KOSDAQ
2025-09-03,10860.0,192700,796.81,KOSDAQ
2025-09-04,11200.0,154100,805.42,KOSDAQ
2025-09-05,11090.0,110920,811.4,KOSDAQ
2025-09-08,10850.0,322272,818.6,KOSDAQ
2025-09-09,11250.0,255412,824.82,KOSDAQ
2025-09-10,11390.0,212544,833.0,KOSDAQ
2025-09-11,11920.0,381239,834.76,KOSDAQ
2025-09-12,15490.0,3580577,847.08,KOSDAQ
2025-09-15,15900.0,2024199,852.69,KOSDAQ
2025-09-16,16740.0,1687595,851.84,KOSDAQ
2025-09-17,17910.0,3113947,845.53,KOSDAQ
2025-09-18,18800.0,883660,857.11,KOSDAQ
2025-09-19,20300.0,807313,863.11,KOSDAQ
2025-09-22,21350.0,533485,874.36,KOSDAQ
2025-09-23,21800.0,2420695,872.21,KOSDAQ
2025-09-24,23800.0,1680014,860.94,KOSDAQ
2025-09-25,23050.0,802855,852.48,KOSDAQ
2025-09-26,21900.0,602556,835.19,KOSDAQ
2025-09-29,22300.0,520360,846.71,KOSDAQ
2025-09-30,22100.0,466914,841.99,KOSDAQ
2025-10-01,22600.0,594182,845.34,KOSDAQ
2025-10-02,19720.0,1655997,854.25,KOSDAQ
2025-10-10,17900.0,1934730,859.49,KOSDAQ
2025-10-13,17030.0,1593275,860.49,KOSDAQ
2025-10-14,15950.0,1117783,847.96,KOSDAQ
2025-10-15,16490.0,598564,864.72,KOSDAQ
2025-10-16,17640.0,1591271,865.41,KOSDAQ
2025-10-17,16060.0,887745,859.54,KOSDAQ
2025-10-20,17540.0,1460918,875.77,KOSDAQ
2025-10-21,16800.0,685298,872.5,KOSDAQ
2025-10-22,17430.0,392600,879.15,KOSDAQ
2025-10-23,17070.0,416424,872.03,KOSDAQ
2025-10-24,17040.0,623887,883.08,KOSDAQ
2025-10-27,16460.0,636893,902.7,KOSDAQ
2025-10-28,17200.0,1183613,903.3,KOSDAQ
2025-10-29,18610.0,2394203,901.59,KOSDAQ
2025-10-30,18800.0,1141838,890.86,KOSDAQ
2025-10-31,17900.0,678288,900.42,KOSDAQ
2025-11-03,17290.0,611640,914.55,KOSDAQ
2025-11-04,16670.0,684670,926.57,KOSDAQ
2025-11-05,15270.0,1023347,901.89,KOSDAQ
2025-11-06,15070.0,453208,898.17,KOSDAQ
2025-11-07,14620.0,348554,876.81,KOSDAQ
2025-11-10,15100.0,299574,888.35,KOSDAQ
2025-11-11,15500.0,311597,884.27,KOSDAQ
2025-11-12,15200.0,307983,906.51,KOSDAQ
2025-11-13,15410.0,219617,918.37,KOSDAQ
2025-11-14,13650.0,904468,897.9,KOSDAQ
2025-11-17,13610.0,404985,902.67,KOSDAQ
2025-11-18,12800.0,319719,878.7,KOSDAQ
2025-11-19,12790.0,188410,871.32,KOSDAQ
2025-11-20,12830.0,225008,891.94,KOSDAQ
2025-11-21,12120.0,266851,863.95,KOSDAQ
2025-11-24,12150.0,85342,856.44,KOSDAQ
2025-11-25,12560.0,176166,856.03,KOSDAQ
2025-11-26,12670.0,86374,877.32,KOSDAQ
2025-11-27,13020.0,157071,880.06,KOSDAQ
2025-11-28,13170.0,102700,912.67,KOSDAQ
2025-12-01,13060.0,145388,922.38,KOSDAQ
2025-12-02,13210.0,90453,928.42,KOSDAQ
2025-12-03,13310.0,120976,932.01,KOSDAQ
2025-12-04,13350.0,126720,929.83,KOSDAQ
2025-12-05,13410.0,171140,924.74,KOSDAQ
2025-12-08,13160.0,157221,927.79,KOSDAQ
2025-12-09,12830.0,94488,931.35,KOSDAQ
2025-12-10,12700.0,96576,935.0,KOSDAQ
2025-12-11,12680.0,103753,934.64,KOSDAQ
2025-12-12,13790.0,602766,937.34,KOSDAQ
2025-12-15,13090.0,247824,938.83,KOSDAQ
2025-12-16,12790.0,230388,916.11,KOSDAQ
2025-12-17,12780.0,112970,911.07,KOSDAQ
2025-12-18,12330.0,108210,901.33,KOSDAQ
2025-12-19,12330.0,71877,915.27,KOSDAQ
2025-12-22,12660.0,103365,929.14,KOSDAQ
2025-12-23,12210.0,155314,919.56,KOSDAQ
2025-12-24,12200.0,120173,915.2,KOSDAQ
2025-12-26,12360.0,100755,919.67,KOSDAQ
2025-12-29,12480.0,91079,932.59,KOSDAQ
2025-12-30,13280.0,326753,925.47,KOSDAQ
2026-01-02,15610.0,674449,945.57,KOSDAQ
2026-01-05,15590.0,452269,957.5,KOSDAQ
2026-01-06,15900.0,262484,955.97,KOSDAQ
2026-01-07,16100.0,845432,947.39,KOSDAQ
2026-01-08,15800.0,279316,944.06,KOSDAQ
2026-01-09,15000.0,226319,947.92,KOSDAQ
2026-01-12,14640.0,195577,949.81,KOSDAQ
2026-01-13,14450.0,140085,948.98,KOSDAQ
2026-01-14,15230.0,224217,942.18,KOSDAQ
2026-01-15,15750.0,350678,951.16,KOSDAQ
2026-01-16,15580.0,173704,954.59,KOSDAQ
2026-01-19,15170.0,165175,968.36,KOSDAQ
2026-01-20,15370.0,171373,976.37,KOSDAQ
2026-01-21,15590.0,395806,951.29,KOSDAQ
2026-01-22,15340.0,293066,970.35,KOSDAQ
2026-01-23,15220.0,208634,993.93,KOSDAQ
2026-01-26,15530.0,215714,1064.41,KOSDAQ
2026-01-27,16080.0,508974,1082.59,KOSDAQ
2026-01-28,16890.0,744934,1133.52,KOSDAQ
2026-01-29,16700.0,588927,1164.41,KOSDAQ
2026-01-30,17050.0,743877,1149.44,KOSDAQ
2026-02-02,18390.0,1460786,1098.36,KOSDAQ
2026-02-03,20200.0,1689063,1144.33,KOSDAQ
2026-02-04,19700.0,491855,1149.43,KOSDAQ
2026-02-05,17930.0,504377,1108.41,KOSDAQ
2026-02-06,17510.0,343597,1080.77,KOSDAQ
2026-02-09,18810.0,359210,1127.55,KOSDAQ
2026-02-10,19280.0,474284,1115.2,KOSDAQ
2026-02-11,20100.0,519649,1114.87,KOSDAQ
2026-02-12,21000.0,456970,1125.99,KOSDAQ
2026-02-13,22550.0,874177,1106.08,KOSDAQ
2026-02-19,21200.0,1266209,1160.71,KOSDAQ
2026-02-20,21100.0,336901,1154.0,KOSDAQ
2026-02-23,27400.0,2351094,1151.99,KOSDAQ
2026-02-24,28200.0,1625934,1165.0,KOSDAQ
2026-02-25,26250.0,856085,1165.25,KOSDAQ
2026-02-26,30300.0,1726743,1188.15,KOSDAQ
2026-02-27,29450.0,450226,1192.78,KOSDAQ
2026-03-03,26850.0,598238,1137.7,KOSDAQ
2026-03-04,22400.0,589624,978.44,KOSDAQ
2026-03-05,26600.0,609392,1116.41,KOSDAQ
2026-03-06,27350.0,296009,1154.67,KOSDAQ
2026-03-09,24400.0,297155,1102.28,KOSDAQ
2026-03-10,26350.0,301043,1137.68,KOSDAQ
2026-03-11,27950.0,426312,1136.83,KOSDAQ
2026-03-12,27000.0,187414,1148.4,KOSDAQ
2026-03-13,26200.0,160375,1152.96,KOSDAQ
2026-03-16,27850.0,568849,1138.29,KOSDAQ
2026-03-17,27850.0,460575,1136.94,KOSDAQ
2026-03-18,36200.0,2546168,1164.38,KOSDAQ
2026-03-19,36250.0,1941714,1143.48,KOSDAQ
2026-03-20,36200.0,602233,1161.52,KOSDAQ
2026-03-23,35100.0,419326,1096.89,KOSDAQ
2026-03-24,33250.0,617094,1121.44,KOSDAQ
2026-03-25,32000.0,527116,1159.55,KOSDAQ
2026-03-26,29550.0,545617,1136.64,KOSDAQ
2026-03-27,27200.0,514324,1141.51,KOSDAQ
2026-03-30,24950.0,403227,1107.05,KOSDAQ
2026-03-31,23300.0,554368,1052.39,KOSDAQ
2026-04-01,25200.0,441465,1116.18,KOSDAQ
2026-04-02,23200.0,393206,1056.34,KOSDAQ
2026-04-03,24500.0,388149,1063.75,KOSDAQ
2026-04-06,23550.0,303913,1047.37,KOSDAQ
2026-04-07,22750.0,261305,1036.73,KOSDAQ
2026-04-08,27350.0,723424,1089.85,KOSDAQ
2026-04-09,25600.0,247649,1076.0,KOSDAQ
2026-04-10,25750.0,313722,1093.63,KOSDAQ
2026-04-13,26100.0,255680,1099.84,KOSDAQ
2026-04-14,29350.0,783933,1121.88,KOSDAQ
2026-04-15,29100.0,387110,1152.43,KOSDAQ
2026-04-16,28800.0,338085,1162.97,KOSDAQ
2026-04-17,28550.0,196513,1170.04,KOSDAQ
2026-04-20,28450.0,198719,1174.85,KOSDAQ
2026-04-21,27950.0,254600,1179.03,KOSDAQ
2026-04-22,28000.0,237134,1181.12,KOSDAQ
2026-04-23,26450.0,322643,1174.31,KOSDAQ
2026-04-24,27500.0,297700,1203.84,KOSDAQ
2026-04-27,29400.0,611790,1226.18,KOSDAQ
2026-04-28,28050.0,226929,1215.58,KOSDAQ
2026-04-29,27150.0,215429,1220.26,KOSDAQ
2026-04-30,28550.0,868653,1192.35,KOSDAQ
2026-05-04,29250.0,562305,1213.74,KOSDAQ
2026-05-06,27800.0,560377,1210.17,KOSDAQ
2026-05-07,25150.0,527184,1199.18,KOSDAQ
2026-05-08,25800.0,446729,1207.72,KOSDAQ
2026-05-11,25600.0,228982,1207.34,KOSDAQ
2026-05-12,24600.0,253048,1179.29,KOSDAQ
2026-05-13,24700.0,378500,1176.93,KOSDAQ
2026-05-14,28250.0,645848,1191.09,KOSDAQ
2026-05-15,22600.0,816775,1129.82,KOSDAQ
2026-05-18,20600.0,364094,1111.09,KOSDAQ
2026-05-19,20900.0,178802,1084.36,KOSDAQ
2026-05-20,21450.0,131412,1056.07,KOSDAQ
2026-05-21,21100.0,227912,1105.97,KOSDAQ
2026-05-22,22000.0,141905,1161.13,KOSDAQ
2026-05-26,21650.0,145450,1172.52,KOSDAQ
2026-05-27,19730.0,249351,1133.13,KOSDAQ
2026-05-28,18570.0,271109,1104.36,KOSDAQ
2026-05-29,17430.0,230249,1074.8,KOSDAQ
2026-06-01,16240.0,195100,1050.03,KOSDAQ
2026-06-02,15710.0,181221,1026.03,KOSDAQ
2026-06-04,16220.0,104149,1049.73,KOSDAQ
2026-06-05,15190.0,88742,1002.44,KOSDAQ
2026-06-08,13510.0,113241,911.39,KOSDAQ
2026-06-09,14700.0,81286,967.81,KOSDAQ
2026-06-10,14240.0,52310,951.63,KOSDAQ
2026-06-11,15420.0,126359,996.93,KOSDAQ
2026-06-12,15990.0,125924,1029.05,KOSDAQ
2026-06-15,16410.0,100879,1034.03,KOSDAQ
2026-06-16,16600.0,86010,1018.68,KOSDAQ
2026-06-17,16450.0,35707,1031.96,KOSDAQ
2026-06-18,15080.0,57649,1000.93,KOSDAQ
2026-06-19,14160.0,111803,966.59,KOSDAQ
2026-06-22,13560.0,93799,968.4,KOSDAQ
2026-06-23,13070.0,141786,891.52,KOSDAQ
2026-06-24,12550.0,94602,909.31,KOSDAQ
2026-06-25,12590.0,115507,887.81,KOSDAQ
2026-06-26,12040.0,126686,851.37,KOSDAQ
2026-06-29,12710.0,71342,920.57,KOSDAQ
2026-06-30,13100.0,44352,916.18,KOSDAQ
2026-07-01,12720.0,57857,929.35,KOSDAQ
2026-07-02,11280.0,74445,866.72,KOSDAQ
2026-07-03,12330.0,77475,868.41,KOSDAQ
2026-07-06,12220.0,45947,847.07,KOSDAQ
2026-07-07,12820.0,75463,831.23,KOSDAQ
2026-07-08,11760.0,126769,785.0,KOSDAQ
2026-07-09,11750.0,56643,794.0,KOSDAQ
2026-07-10,12720.0,34904,837.43,KOSDAQ
2026-07-13,11500.0,43232,799.36,KOSDAQ
2026-07-14,11470.0,38438,783.98,KOSDAQ
2026-07-15,12290.0,50617,829.43,KOSDAQ
